id,name,language,tag,package,version,date_epoch,date
12,com.azure.resourcemanager:azure-resourcemanager-recoveryservicesbackup:1.0.0-beta.2,java,azure-resourcemanager-recoveryservicesbackup_1.0.0-beta.2,azure-resourcemanager-recoveryservicesbackup,1.0.0-beta.2,1638165667,11/29/2021
13,com.azure.resourcemanager:azure-resourcemanager-netapp:1.0.0-beta.7,java,azure-resourcemanager-netapp_1.0.0-beta.7,azure-resourcemanager-netapp,1.0.0-beta.7,1638770350,12/6/2021
14,com.azure.resourcemanager:azure-resourcemanager-loadtestservice:1.0.0-beta.1,java,azure-resourcemanager-loadtestservice_1.0.0-beta.1,azure-resourcemanager-loadtestservice,1.0.0-beta.1,1638522155,12/3/2021
15,com.azure.resourcemanager:azure-resourcemanager-policyinsights:1.0.0-beta.2,java,azure-resourcemanager-policyinsights_1.0.0-beta.2,azure-resourcemanager-policyinsights,1.0.0-beta.2,1638775177,12/6/2021
16,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/azuredata/armazuredata@v0.1.0,go,sdk/resourcemanager/azuredata/armazuredata/v0.1.0,sdk/resourcemanager/azuredata/armazuredata,v0.1.0,1638845832,12/7/2021
17,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/blockchain/armblockchain@v0.1.0,go,sdk/resourcemanager/blockchain/armblockchain/v0.1.0,sdk/resourcemanager/blockchain/armblockchain,v0.1.0,1638845831,12/7/2021
18,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/billing/armbilling@v0.1.0,go,sdk/resourcemanager/billing/armbilling/v0.1.0,sdk/resourcemanager/billing/armbilling,v0.1.0,1638845822,12/7/2021
19,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/automanage/armautomanage@v0.1.0,go,sdk/resourcemanager/automanage/armautomanage/v0.1.0,sdk/resourcemanager/automanage/armautomanage,v0.1.0,1638845819,12/7/2021
20,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/blueprint/armblueprint@v0.1.0,go,sdk/resourcemanager/blueprint/armblueprint/v0.1.0,sdk/resourcemanager/blueprint/armblueprint,v0.1.0,1638845787,12/7/2021
21,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/changeanalysis/armchangeanalysis@v0.1.0,go,sdk/resourcemanager/changeanalysis/armchangeanalysis/v0.1.0,sdk/resourcemanager/changeanalysis/armchangeanalysis,v0.1.0,1638845772,12/7/2021
22,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/baremetalinfrastructure/armbaremetalinfrastructure@v0.1.0,go,sdk/resourcemanager/baremetalinfrastructure/armbaremetalinfrastructure/v0.1.0,sdk/resourcemanager/baremetalinfrastructure/armbaremetalinfrastructure,v0.1.0,1638845770,12/7/2021
23,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/azurestackhci/armazurestackhci@v0.1.0,go,sdk/resourcemanager/azurestackhci/armazurestackhci/v0.1.0,sdk/resourcemanager/azurestackhci/armazurestackhci,v0.1.0,1638845768,12/7/2021
24,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/containerinstance/armcontainerinstance@v0.1.0,go,sdk/resourcemanager/containerinstance/armcontainerinstance/v0.1.0,sdk/resourcemanager/containerinstance/armcontainerinstance,v0.1.0,1638845767,12/7/2021
25,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/databox/armdatabox@v0.1.0,go,sdk/resourcemanager/databox/armdatabox/v0.1.0,sdk/resourcemanager/databox/armdatabox,v0.1.0,1638845766,12/7/2021
26,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/azurearcdata/armazurearcdata@v0.1.0,go,sdk/resourcemanager/azurearcdata/armazurearcdata/v0.1.0,sdk/resourcemanager/azurearcdata/armazurearcdata,v0.1.0,1638845766,12/7/2021
27,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/confidentialledger/armconfidentialledger@v0.1.0,go,sdk/resourcemanager/confidentialledger/armconfidentialledger/v0.1.0,sdk/resourcemanager/confidentialledger/armconfidentialledger,v0.1.0,1638845766,12/7/2021
28,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/communication/armcommunication@v0.1.0,go,sdk/resourcemanager/communication/armcommunication/v0.1.0,sdk/resourcemanager/communication/armcommunication,v0.1.0,1638845763,12/7/2021
29,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/databoxedge/armdataboxedge@v0.1.0,go,sdk/resourcemanager/databoxedge/armdataboxedge/v0.1.0,sdk/resourcemanager/databoxedge/armdataboxedge,v0.1.0,1638845717,12/7/2021
30,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/aad/armaad@v0.1.0,go,sdk/resourcemanager/aad/armaad/v0.1.0,sdk/resourcemanager/aad/armaad,v0.1.0,1638845138,12/7/2021
31,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/domainservices/armdomainservices@v0.1.0,go,sdk/resourcemanager/domainservices/armdomainservices/v0.1.0,sdk/resourcemanager/domainservices/armdomainservices,v0.1.0,1638845136,12/7/2021
32,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/appconfiguration/armappconfiguration@v0.1.0,go,sdk/resourcemanager/appconfiguration/armappconfiguration/v0.1.0,sdk/resourcemanager/appconfiguration/armappconfiguration,v0.1.0,1638845126,12/7/2021
33,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/attestation/armattestation@v0.1.0,go,sdk/resourcemanager/attestation/armattestation/v0.1.0,sdk/resourcemanager/attestation/armattestation,v0.1.0,1638845126,12/7/2021
34,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/orbital/armorbital@v0.1.0,go,sdk/resourcemanager/orbital/armorbital/v0.1.0,sdk/resourcemanager/orbital/armorbital,v0.1.0,1638845121,12/7/2021
35,com.azure.resourcemanager:azure-resourcemanager-imagebuilder:1.0.0-beta.2,java,azure-resourcemanager-imagebuilder_1.0.0-beta.2,azure-resourcemanager-imagebuilder,1.0.0-beta.2,1638863369,12/7/2021
36,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/marketplace/armmarketplace@v0.1.0,go,sdk/resourcemanager/marketplace/armmarketplace/v0.1.0,sdk/resourcemanager/marketplace/armmarketplace,v0.1.0,1638871076,12/7/2021
37,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/mariadb/armmariadb@v0.1.0,go,sdk/resourcemanager/mariadb/armmariadb/v0.1.0,sdk/resourcemanager/mariadb/armmariadb,v0.1.0,1638871034,12/7/2021
38,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/marketplaceordering/armmarketplaceordering@v0.1.0,go,sdk/resourcemanager/marketplaceordering/armmarketplaceordering/v0.1.0,sdk/resourcemanager/marketplaceordering/armmarketplaceordering,v0.1.0,1638871032,12/7/2021
39,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/maps/armmaps@v0.1.0,go,sdk/resourcemanager/maps/armmaps/v0.1.0,sdk/resourcemanager/maps/armmaps,v0.1.0,1638871027,12/7/2021
40,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/managedservices/armmanagedservices@v0.1.0,go,sdk/resourcemanager/managedservices/armmanagedservices/v0.1.0,sdk/resourcemanager/managedservices/armmanagedservices,v0.1.0,1638870906,12/7/2021
41,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/managementpartner/armmanagementpartner@v0.1.0,go,sdk/resourcemanager/managementpartner/armmanagementpartner/v0.1.0,sdk/resourcemanager/managementpartner/armmanagementpartner,v0.1.0,1638870892,12/7/2021
42,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/labservices/armlabservices@v0.1.0,go,sdk/resourcemanager/labservices/armlabservices/v0.1.0,sdk/resourcemanager/labservices/armlabservices,v0.1.0,1638870653,12/7/2021
43,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/kubernetesconfiguration/armkubernetesconfiguration@v0.1.0,go,sdk/resourcemanager/kubernetesconfiguration/armkubernetesconfiguration/v0.1.0,sdk/resourcemanager/kubernetesconfiguration/armkubernetesconfiguration,v0.1.0,1638870651,12/7/2021
44,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/maintenance/armmaintenance@v0.1.0,go,sdk/resourcemanager/maintenance/armmaintenance/v0.1.0,sdk/resourcemanager/maintenance/armmaintenance,v0.1.0,1638870643,12/7/2021
45,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/m365securityandcompliance/armm365securityandcompliance@v0.1.0,go,sdk/resourcemanager/m365securityandcompliance/armm365securityandcompliance/v0.1.0,sdk/resourcemanager/m365securityandcompliance/armm365securityandcompliance,v0.1.0,1638870633,12/7/2021
46,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/iotcentral/armiotcentral@v0.1.0,go,sdk/resourcemanager/iotcentral/armiotcentral/v0.1.0,sdk/resourcemanager/iotcentral/armiotcentral,v0.1.0,1638869390,12/7/2021
47,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/hybridkubernetes/armhybridkubernetes@v0.1.0,go,sdk/resourcemanager/hybridkubernetes/armhybridkubernetes/v0.1.0,sdk/resourcemanager/hybridkubernetes/armhybridkubernetes,v0.1.0,1638869387,12/7/2021
48,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/hybridnetwork/armhybridnetwork@v0.1.0,go,sdk/resourcemanager/hybridnetwork/armhybridnetwork/v0.1.0,sdk/resourcemanager/hybridnetwork/armhybridnetwork,v0.1.0,1638869386,12/7/2021
49,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/hanaonazure/armhanaonazure@v0.1.0,go,sdk/resourcemanager/hanaonazure/armhanaonazure/v0.1.0,sdk/resourcemanager/hanaonazure/armhanaonazure,v0.1.0,1638869383,12/7/2021
50,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/healthcareapis/armhealthcareapis@v0.1.0,go,sdk/resourcemanager/healthcareapis/armhealthcareapis/v0.1.0,sdk/resourcemanager/healthcareapis/armhealthcareapis,v0.1.0,1638869383,12/7/2021
51,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/iotsecurity/armiotsecurity@v0.1.0,go,sdk/resourcemanager/iotsecurity/armiotsecurity/v0.1.0,sdk/resourcemanager/iotsecurity/armiotsecurity,v0.1.0,1638869383,12/7/2021
52,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/hybridconnectivity/armhybridconnectivity@v0.1.0,go,sdk/resourcemanager/hybridconnectivity/armhybridconnectivity/v0.1.0,sdk/resourcemanager/hybridconnectivity/armhybridconnectivity,v0.1.0,1638869381,12/7/2021
53,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/hybriddatamanager/armhybriddatamanager@v0.1.0,go,sdk/resourcemanager/hybriddatamanager/armhybriddatamanager/v0.1.0,sdk/resourcemanager/hybriddatamanager/armhybriddatamanager,v0.1.0,1638869379,12/7/2021
54,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/loadtestservice/armloadtestservice@v0.1.0,go,sdk/resourcemanager/loadtestservice/armloadtestservice/v0.1.0,sdk/resourcemanager/loadtestservice/armloadtestservice,v0.1.0,1638869379,12/7/2021
55,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/hardwaresecuritymodules/armhardwaresecuritymodules@v0.1.0,go,sdk/resourcemanager/hardwaresecuritymodules/armhardwaresecuritymodules/v0.1.0,sdk/resourcemanager/hardwaresecuritymodules/armhardwaresecuritymodules,v0.1.0,1638869379,12/7/2021
56,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/healthbot/armhealthbot@v0.1.0,go,sdk/resourcemanager/healthbot/armhealthbot/v0.1.0,sdk/resourcemanager/healthbot/armhealthbot,v0.1.0,1638868993,12/7/2021
57,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/frontdoor/armfrontdoor@v0.1.0,go,sdk/resourcemanager/frontdoor/armfrontdoor/v0.1.0,sdk/resourcemanager/frontdoor/armfrontdoor,v0.1.0,1638866579,12/7/2021
58,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/devops/armdevops@v0.1.0,go,sdk/resourcemanager/devops/armdevops/v0.1.0,sdk/resourcemanager/devops/armdevops,v0.1.0,1638866574,12/7/2021
59,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/guestconfiguration/armguestconfiguration@v0.1.0,go,sdk/resourcemanager/guestconfiguration/armguestconfiguration/v0.1.0,sdk/resourcemanager/guestconfiguration/armguestconfiguration,v0.1.0,1638866571,12/7/2021
60,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/extendedlocation/armextendedlocation@v0.1.0,go,sdk/resourcemanager/extendedlocation/armextendedlocation/v0.1.0,sdk/resourcemanager/extendedlocation/armextendedlocation,v0.1.0,1638866556,12/7/2021
61,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/edgeorderpartner/armedgeorderpartner@v0.1.0,go,sdk/resourcemanager/edgeorderpartner/armedgeorderpartner/v0.1.0,sdk/resourcemanager/edgeorderpartner/armedgeorderpartner,v0.1.0,1638865978,12/7/2021
62,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/dns/armdns@v0.1.0,go,sdk/resourcemanager/dns/armdns/v0.1.0,sdk/resourcemanager/dns/armdns,v0.1.0,1638862379,12/7/2021
63,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/digitaltwins/armdigitaltwins@v0.1.0,go,sdk/resourcemanager/digitaltwins/armdigitaltwins/v0.1.0,sdk/resourcemanager/digitaltwins/armdigitaltwins,v0.1.0,1638862365,12/7/2021
64,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/edgeorder/armedgeorder@v0.1.0,go,sdk/resourcemanager/edgeorder/armedgeorder/v0.1.0,sdk/resourcemanager/edgeorder/armedgeorder,v0.1.0,1638862364,12/7/2021
65,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/elastic/armelastic@v0.1.0,go,sdk/resourcemanager/elastic/armelastic/v0.1.0,sdk/resourcemanager/elastic/armelastic,v0.1.0,1638862357,12/7/2021
66,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/customerlockbox/armcustomerlockbox@v0.1.0,go,sdk/resourcemanager/customerlockbox/armcustomerlockbox/v0.1.0,sdk/resourcemanager/customerlockbox/armcustomerlockbox,v0.1.0,1638862352,12/7/2021
67,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/deviceprovisioningservices/armdeviceprovisioningservices@v0.1.0,go,sdk/resourcemanager/deviceprovisioningservices/armdeviceprovisioningservices/v0.1.0,sdk/resourcemanager/deviceprovisioningservices/armdeviceprovisioningservices,v0.1.0,1638859054,12/7/2021
68,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/deviceupdate/armdeviceupdate@v0.1.0,go,sdk/resourcemanager/deviceupdate/armdeviceupdate/v0.1.0,sdk/resourcemanager/deviceupdate/armdeviceupdate,v0.1.0,1638859046,12/7/2021
69,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/kusto/armkusto@v0.1.0,go,sdk/resourcemanager/kusto/armkusto/v0.1.0,sdk/resourcemanager/kusto/armkusto,v0.1.0,1638859041,12/7/2021
70,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/costmanagement/armcostmanagement@v0.1.0,go,sdk/resourcemanager/costmanagement/armcostmanagement/v0.1.0,sdk/resourcemanager/costmanagement/armcostmanagement,v0.1.0,1638859026,12/7/2021
71,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/datacatalog/armdatacatalog@v0.1.0,go,sdk/resourcemanager/datacatalog/armdatacatalog/v0.1.0,sdk/resourcemanager/datacatalog/armdatacatalog,v0.1.0,1638858259,12/7/2021
72,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/dataprotection/armdataprotection@v0.1.0,go,sdk/resourcemanager/dataprotection/armdataprotection/v0.1.0,sdk/resourcemanager/dataprotection/armdataprotection,v0.1.0,1638858257,12/7/2021
73,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/desktopvirtualization/armdesktopvirtualization@v0.1.0,go,sdk/resourcemanager/desktopvirtualization/armdesktopvirtualization/v0.1.0,sdk/resourcemanager/desktopvirtualization/armdesktopvirtualization,v0.1.0,1638858120,12/7/2021
74,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/deploymentmanager/armdeploymentmanager@v0.1.0,go,sdk/resourcemanager/deploymentmanager/armdeploymentmanager/v0.1.0,sdk/resourcemanager/deploymentmanager/armdeploymentmanager,v0.1.0,1638858114,12/7/2021
75,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/datashare/armdatashare@v0.1.0,go,sdk/resourcemanager/datashare/armdatashare/v0.1.0,sdk/resourcemanager/datashare/armdatashare,v0.1.0,1638858114,12/7/2021
76,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/confluent/armconfluent@v0.1.0,go,sdk/resourcemanager/confluent/armconfluent/v0.1.0,sdk/resourcemanager/confluent/armconfluent,v0.1.0,1638858114,12/7/2021
77,com.azure.resourcemanager:azure-resourcemanager-kubernetesconfiguration:1.0.0-beta.2,java,azure-resourcemanager-kubernetesconfiguration_1.0.0-beta.2,azure-resourcemanager-kubernetesconfiguration,1.0.0-beta.2,1638935416,12/8/2021
78,com.azure.resourcemanager:azure-resourcemanager-consumption:1.0.0-beta.3,java,azure-resourcemanager-consumption_1.0.0-beta.3,azure-resourcemanager-consumption,1.0.0-beta.3,1639459196,12/14/2021
79,com.azure.resourcemanager:azure-resourcemanager-eventgrid:1.1.0-beta.5,java,azure-resourcemanager-eventgrid_1.1.0-beta.5,azure-resourcemanager-eventgrid,1.1.0-beta.5,1639450959,12/14/2021
80,com.azure.resourcemanager:azure-resourcemanager-applicationinsights:1.0.0-beta.2,java,azure-resourcemanager-applicationinsights_1.0.0-beta.2,azure-resourcemanager-applicationinsights,1.0.0-beta.2,1639400930,12/13/2021
81,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/resources/armdeploymentscripts@v0.1.1,go,sdk/resourcemanager/resources/armdeploymentscripts/v0.1.1,sdk/resourcemanager/resources/armdeploymentscripts,v0.1.1,1639376982,12/13/2021
82,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/resources/armtemplatespecs@v0.1.1,go,sdk/resourcemanager/resources/armtemplatespecs/v0.1.1,sdk/resourcemanager/resources/armtemplatespecs,v0.1.1,1639376959,12/13/2021
83,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/resources/armsubscriptions@v0.1.1,go,sdk/resourcemanager/resources/armsubscriptions/v0.1.1,sdk/resourcemanager/resources/armsubscriptions,v0.1.1,1639376950,12/13/2021
84,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/resources/armpolicy@v0.1.1,go,sdk/resourcemanager/resources/armpolicy/v0.1.1,sdk/resourcemanager/resources/armpolicy,v0.1.1,1639376942,12/13/2021
85,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/resources/armmanagedapplications@v0.1.1,go,sdk/resourcemanager/resources/armmanagedapplications/v0.1.1,sdk/resourcemanager/resources/armmanagedapplications,v0.1.1,1639376935,12/13/2021
86,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/resources/armlocks@v0.1.1,go,sdk/resourcemanager/resources/armlocks/v0.1.1,sdk/resourcemanager/resources/armlocks,v0.1.1,1639376926,12/13/2021
87,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/resources/armfeatures@v0.1.1,go,sdk/resourcemanager/resources/armfeatures/v0.1.1,sdk/resourcemanager/resources/armfeatures,v0.1.1,1639376904,12/13/2021
88,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/storagepool/armstoragepool@v0.1.0,go,sdk/resourcemanager/storagepool/armstoragepool/v0.1.0,sdk/resourcemanager/storagepool/armstoragepool,v0.1.0,1639642444,12/16/2021
89,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/storagesync/armstoragesync@v0.1.0,go,sdk/resourcemanager/storagesync/armstoragesync/v0.1.0,sdk/resourcemanager/storagesync/armstoragesync,v0.1.0,1639642444,12/16/2021
90,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/hybridcompute/armhybridcompute@v0.1.0,go,sdk/resourcemanager/hybridcompute/armhybridcompute/v0.1.0,sdk/resourcemanager/hybridcompute/armhybridcompute,v0.1.0,1639634925,12/16/2021
91,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/netapp/armnetapp@v0.1.0,go,sdk/resourcemanager/netapp/armnetapp/v0.1.0,sdk/resourcemanager/netapp/armnetapp,v0.1.0,1639633579,12/16/2021
92,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/peering/armpeering@v0.1.0,go,sdk/resourcemanager/peering/armpeering/v0.1.0,sdk/resourcemanager/peering/armpeering,v0.1.0,1639633572,12/16/2021
93,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/workloadmonitor/armworkloadmonitor@v0.1.0,go,sdk/resourcemanager/workloadmonitor/armworkloadmonitor/v0.1.0,sdk/resourcemanager/workloadmonitor/armworkloadmonitor,v0.1.0,1639633568,12/16/2021
94,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/chaos/armchaos@v0.1.0,go,sdk/resourcemanager/chaos/armchaos/v0.1.0,sdk/resourcemanager/chaos/armchaos,v0.1.0,1639633560,12/16/2021
95,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/mixedreality/armmixedreality@v0.1.0,go,sdk/resourcemanager/mixedreality/armmixedreality/v0.1.0,sdk/resourcemanager/mixedreality/armmixedreality,v0.1.0,1639633550,12/16/2021
96,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/monitor/armmonitor@v0.3.0,go,sdk/resourcemanager/monitor/armmonitor/v0.3.0,sdk/resourcemanager/monitor/armmonitor,v0.3.0,1639633008,12/16/2021
97,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/machinelearningservices/armmachinelearningservices@v0.1.0,go,sdk/resourcemanager/machinelearningservices/armmachinelearningservices/v0.1.0,sdk/resourcemanager/machinelearningservices/armmachinelearningservices,v0.1.0,1639632554,12/16/2021
98,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/quota/armquota@v0.1.0,go,sdk/resourcemanager/quota/armquota/v0.1.0,sdk/resourcemanager/quota/armquota,v0.1.0,1639632554,12/16/2021
99,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/signalr/armsignalr@v0.1.0,go,sdk/resourcemanager/signalr/armsignalr/v0.1.0,sdk/resourcemanager/signalr/armsignalr,v0.1.0,1639632484,12/16/2021
100,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/purview/armpurview@v0.1.0,go,sdk/resourcemanager/purview/armpurview/v0.1.0,sdk/resourcemanager/purview/armpurview,v0.1.0,1639632479,12/16/2021
101,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/quantum/armquantum@v0.1.0,go,sdk/resourcemanager/quantum/armquantum/v0.1.0,sdk/resourcemanager/quantum/armquantum,v0.1.0,1639632449,12/16/2021
102,com.azure.resourcemanager:azure-resourcemanager-datafactory:1.0.0-beta.9,java,azure-resourcemanager-datafactory_1.0.0-beta.9,azure-resourcemanager-datafactory,1.0.0-beta.9,1639978607,12/20/2021
103,com.azure.resourcemanager:azure-resourcemanager-edgeorder:1.0.0-beta.1,java,azure-resourcemanager-edgeorder_1.0.0-beta.1,azure-resourcemanager-edgeorder,1.0.0-beta.1,1640144556,12/22/2021
104,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/support/armsupport@v0.1.0,go,sdk/resourcemanager/support/armsupport/v0.1.0,sdk/resourcemanager/support/armsupport,v0.1.0,1640172566,12/22/2021
105,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/windowsesu/armwindowsesu@v0.1.0,go,sdk/resourcemanager/windowsesu/armwindowsesu/v0.1.0,sdk/resourcemanager/windowsesu/armwindowsesu,v0.1.0,1640171979,12/22/2021
106,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/customproviders/armcustomproviders@v0.1.0,go,sdk/resourcemanager/customproviders/armcustomproviders/v0.1.0,sdk/resourcemanager/customproviders/armcustomproviders,v0.1.0,1640171900,12/22/2021
107,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/webpubsub/armwebpubsub@v0.1.0,go,sdk/resourcemanager/webpubsub/armwebpubsub/v0.1.0,sdk/resourcemanager/webpubsub/armwebpubsub,v0.1.0,1640171885,12/22/2021
108,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/synapse/armsynapse@v0.1.0,go,sdk/resourcemanager/synapse/armsynapse/v0.1.0,sdk/resourcemanager/synapse/armsynapse,v0.1.0,1640162284,12/22/2021
109,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/storagecache/armstoragecache@v0.1.0,go,sdk/resourcemanager/storagecache/armstoragecache/v0.1.0,sdk/resourcemanager/storagecache/armstoragecache,v0.1.0,1640162282,12/22/2021
110,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/trafficmanager/armtrafficmanager@v0.1.0,go,sdk/resourcemanager/trafficmanager/armtrafficmanager/v0.1.0,sdk/resourcemanager/trafficmanager/armtrafficmanager,v0.1.0,1640162269,12/22/2021
111,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/storageimportexport/armstorageimportexport@v0.1.0,go,sdk/resourcemanager/storageimportexport/armstorageimportexport/v0.1.0,sdk/resourcemanager/storageimportexport/armstorageimportexport,v0.1.0,1640161830,12/22/2021
112,github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/providerhub/armproviderhub@v0.1.0,go,sdk/resourcemanager/providerhub/armproviderhub/v0.1.0,sdk/resourcemanager/providerhub/armproviderhub,v0.1.0,1640158146,12/22/2021
